Instance type,Instance family,Instance size,Availability zones,Free-Tier eligible,Free Trial available,Bare metal,Hypervisor,vCPUs,Architecture,Cores,Valid cores,Threads per core,Valid threads per core,Sustained clock speed (GHz),Memory (GiB),Storage (GB),Local instance storage,Storage type,Storage disk count,EBS encryption support,EBS optimization support,Network performance,ENA support,Maximum number of network interfaces,IPv4 addresses per interface,IPv6 addresses per interface,IPv6 support,Supported placement group strategies,GPUs,FPGAs,Auto Recovery support,Supported root device types,Dedicated Host support,On-Demand Hibernation support,Burstable Performance support,Current generation,ENA Express support,On-Demand Windows pricing,On-Demand Linux pricing,On-Demand SUSE pricing,On-Demand RHEL pricing,On-Demand ap-northeast-1-tpe-1 Windows pricing,On-Demand ap-northeast-1-tpe-1 SUSE pricing,On-Demand ap-northeast-1-tpe-1 RHEL pricing,On-Demand ap-northeast-1-tpe-1 Linux pricing
c6in.32xlarge,c6in,32xlarge,"ap-northeast-1c, ap-northeast-1a, ap-northeast-1d",false,false,false,nitro,128,x86_64,64,"4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64",2,"1,2",3.5,256,-,-,-,-,supported,default,200 Gigabit,required,14,50,50,true,"cluster, partition, spread",-,-,true,ebs,true,-,-,true,false,15.0272 USD per Hour,9.1392 USD per Hour,9.2642 USD per Hour,9.2692 USD per Hour,,,,
c6in.metal,c6in,metal,"ap-northeast-1a, ap-northeast-1c, ap-northeast-1d",false,false,true,,128,x86_64,64,-,2,-,3.5,256,-,-,-,-,supported,default,200 Gigabit,required,14,50,50,true,"cluster, partition, spread",-,-,true,ebs,true,-,-,true,false,15.0272 USD per Hour,9.1392 USD per Hour,9.2642 USD per Hour,9.2692 USD per Hour,,,,
c7g.medium,c7g,medium,"ap-northeast-1d, ap-northeast-1a, ap-northeast-1c",false,false,false,nitro,1,arm64,1,-,1,-,2.6,2,-,-,-,-,supported,default,Up to 12.5 Gigabit,required,2,4,4,true,"cluster, partition, spread",-,-,true,ebs,true,-,-,true,false,,0.0455 USD per Hour,0.1018 USD per Hour,0.1055 USD per Hour,,,,
c7g.large,c7g,large,"ap-northeast-1c, ap-northeast-1a, ap-northeast-1d",false,false,false,nitro,2,arm64,2,"1,2",1,1,2.6,4,-,-,-,-,supported,default,Up to 12.5 Gigabit,required,3,10,10,true,"cluster, partition, spread",-,-,true,ebs,true,-,-,true,false,,0.091 USD per Hour,0.1473 USD per Hour,0.151 USD per Hour,,,,
c7g.xlarge,c7g,xlarge,"ap-northeast-1d, ap-northeast-1a, ap-northeast-1c",false,false,false,nitro,4,arm64,4,"1,2,3,4",1,1,2.6,8,-,-,-,-,supported,default,Up to 12.5 Gigabit,required,4,15,15,true,"cluster, partition, spread",-,-,true,ebs,true,-,-,true,false,,0.1819 USD per Hour,0.2382 USD per Hour,0.2419 USD per Hour,,,,
c7g.2xlarge,c7g,2xlarge,"ap-northeast-1c, ap-northeast-1d, ap-northeast-1a",false,false,false,nitro,8,arm64,8,"1,2,3,4,5,6,7,8",1,1,2.6,16,-,-,-,-,supported,default,Up to 15 Gigabit,required,4,15,15,true,"cluster, partition, spread",-,-,true,ebs,true,-,-,true,false,,0.3638 USD per Hour,0.4888 USD per Hour,0.4938 USD per Hour,,,,
c7g.4xlarge,c7g,4xlarge,"ap-northeast-1c, ap-northeast-1a, ap-northeast-1d",false,false,false,nitro,16,arm64,16,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",1,1,2.6,32,-,-,-,-,supported,default,Up to 15 Gigabit,required,8,30,30,true,"cluster, partition, spread",-,-,true,ebs,true,-,-,true,false,,0.7277 USD per Hour,0.8527 USD per Hour,0.8577 USD per Hour,,,,
c7g.8xlarge,c7g,8xlarge,"ap-northeast-1d, ap-northeast-1a, ap-northeast-1c",false,false,false,nitro,32,arm64,32,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32",1,1,2.6,64,-,-,-,-,supported,default,15 Gigabit,required,8,30,30,true,"cluster, partition, spread",-,-,true,ebs,true,-,-,true,false,,1.4554 USD per Hour,1.5804 USD per Hour,1.5854 USD per Hour,,,,
c7g.12xlarge,c7g,12xlarge,"ap-northeast-1a, ap-northeast-1d, ap-northeast-1c",false,false,false,nitro,48,arm64,48,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48",1,1,2.6,96,-,-,-,-,supported,default,22.5 Gigabit,required,8,30,30,true,"cluster, partition, spread",-,-,true,ebs,true,-,-,true,false,,2.183 USD per Hour,2.308 USD per Hour,2.313 USD per Hour,,,,
c7g.16xlarge,c7g,16xlarge,"ap-northeast-1d, ap-northeast-1c, ap-northeast-1a",false,false,false,nitro,64,arm64,64,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64",1,1,2.6,128,-,-,-,-,supported,default,30 Gigabit,required,15,50,50,true,"cluster, partition, spread",-,-,true,ebs,true,-,-,true,false,,2.9107 USD per Hour,3.0357 USD per Hour,3.0407 USD per Hour,,,,
c7g.metal,c7g,metal,"ap-northeast-1c, ap-northeast-1a, ap-northeast-1d",false,false,true,,64,arm64,64,-,1,-,2.6,128,-,-,-,-,supported,default,30 Gigabit,required,15,50,50,true,"cluster, partition, spread",-,-,true,ebs,true,-,-,true,false,,2.9107 USD per Hour,3.0357 USD per Hour,3.0407 USD per Hour,,,,
d2.xlarge,d2,xlarge,"ap-northeast-1d, ap-northeast-1c, ap-northeast-1a",false,false,false,xen,4,x86_64,2,"1,2",2,"1,2",2.4,30.5,6144,true,hdd,3,supported,default,Moderate,unsupported,4,15,15,true,"cluster, partition, spread",-,-,-,"ebs, instance-store",true,-,-,true,false,0.975 USD per Hour,0.844 USD per Hour,0.944 USD per Hour,0.904 USD per Hour,,,,
d2.2xlarge,d2,2xlarge,"ap-northeast-1d, ap-northeast-1c, ap-northeast-1a",false,false,false,xen,8,x86_64,4,"1,2,3,4",2,"1,2",2.4,61,12288,true,hdd,6,supported,default,High,unsupported,4,15,15,true,"cluster, partition, spread",-,-,-,"ebs, instance-store",true,-,-,true,false,1.909 USD per Hour,1.688 USD per Hour,1.788 USD per Hour,1.818 USD per Hour,,,,
d2.4xlarge,d2,4xlarge,"ap-northeast-1d, ap-northeast-1c, ap-northeast-1a",false,false,false,xen,16,x86_64,8,"1,2,3,4,5,6,7,8",2,"1,2",2.4,122,24576,true,hdd,12,supported,default,High,unsupported,8,30,30,true,"cluster, partition, spread",-,-,-,"ebs, instance-store",true,-,-,true,false,3.678 USD per Hour,3.376 USD per Hour,3.476 USD per Hour,3.506 USD per Hour,,,,
d2.8xlarge,d2,8xlarge,"ap-northeast-1c, ap-northeast-1d, ap-northeast-1a",false,false,false,xen,36,x86_64,18,"2,4,6,8,10,12,14,16,18",2,"1,2",2.4,244,49152,true,hdd,24,supported,default,10 Gigabit,unsupported,8,30,30,true,"cluster, partition, spread",-,-,-,"ebs, instance-store",true,-,-,true,false,7.43 USD per Hour,6.752 USD per Hour,6.852 USD per Hour,6.882 USD per Hour,,,,
d3.xlarge,d3,xlarge,"ap-northeast-1c, ap-northeast-1a",false,false,false,nitro,4,x86_64,2,"1,2",2,"1,2",3.1,32,5940,true,hdd,3,supported,default,Up to 15 Gigabit,required,4,3,3,true,"cluster, partition, spread",-,-,-,ebs,-,-,-,true,false,0.908 USD per Hour,0.724 USD per Hour,0.78 USD per Hour,0.784 USD per Hour,,,,
d3.2xlarge,d3,2xlarge,"ap-northeast-1a, ap-northeast-1c",false,false,false,nitro,8,x86_64,4,"2,4",2,"1,2",3.1,64,11880,true,hdd,6,supported,default,Up to 15 Gigabit,required,4,5,5,true,"cluster, partition, spread",-,-,-,ebs,-,-,-,true,false,1.816 USD per Hour,1.448 USD per Hour,1.573 USD per Hour,1.578 USD per Hour,,,,
d3.4xlarge,d3,4xlarge,"ap-northeast-1c, ap-northeast-1a",false,false,false,nitro,16,x86_64,8,"2,4,6,8",2,"1,2",3.1,128,23760,true,hdd,12,supported,default,Up to 15 Gigabit,required,4,10,10,true,"cluster, partition, spread",-,-,-,ebs,-,-,-,true,false,3.633 USD per Hour,2.897 USD per Hour,3.022 USD per Hour,3.027 USD per Hour,,,,
d3.8xlarge,d3,8xlarge,"ap-northeast-1c, ap-northeast-1a",false,false,false,nitro,32,x86_64,16,"2,4,6,8,10,12,14,16",2,"1,2",3.1,256,47520,true,hdd,24,supported,default,25 Gigabit,required,3,20,20,true,"cluster, partition, spread",-,-,-,ebs,-,-,-,true,false,7.26544 USD per Hour,5.79344 USD per Hour,5.91844 USD per Hour,5.92344 USD per Hour,,,,
g2.2xlarge,g2,2xlarge,"ap-northeast-1c, ap-northeast-1a",false,false,false,xen,8,x86_64,4,"1,2,3,4",2,"1,2",2.6,15,60,true,ssd,1,supported,supported,Moderate,unsupported,4,15,-,-,"cluster, partition, spread",1,-,-,"ebs, instance-store",true,-,-,false,false,1.01 USD per Hour,0.898 USD per Hour,0.998 USD per Hour,1.028 USD per Hour,,,,
g2.8xlarge,g2,8xlarge,"ap-northeast-1c, ap-northeast-1a",false,false,false,xen,32,x86_64,16,"2,4,6,8,10,12,14,16",2,"1,2",2.6,60,240,true,ssd,2,supported,unsupported,High,unsupported,8,30,-,-,"cluster, partition, spread",4,-,-,"ebs, instance-store",true,-,-,false,false,3.87 USD per Hour,3.592 USD per Hour,3.692 USD per Hour,3.722 USD per Hour,,,,
g3.4xlarge,g3,4xlarge,"ap-northeast-1a, ap-northeast-1c",false,false,false,xen,16,x86_64,8,"1,2,3,4,5,6,7,8",2,"1,2",2.7,122,-,-,-,-,supported,default,Up to 10 Gigabit,supported,8,30,30,true,"cluster, partition, spread",1,-,true,ebs,true,-,-,true,false,2.316 USD per Hour,1.58 USD per Hour,1.68 USD per Hour,1.71 USD per Hour,,,,
g3.8xlarge,g3,8xlarge,"ap-northeast-1c, ap-northeast-1a",false,false,false,xen,32,x86_64,16,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",2,"1,2",2.7,244,-,-,-,-,supported,default,10 Gigabit,supported,8,30,30,true,"cluster, partition, spread",2,-,true,ebs,true,-,-,true,false,4.632 USD per Hour,3.16 USD per Hour,3.26 USD per Hour,3.29 USD per Hour,,,,
g3.16xlarge,g3,16xlarge,"ap-northeast-1c, ap-northeast-1a",false,false,false,xen,64,x86_64,32,"2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32",2,"1,2",2.3,488,-,-,-,-,supported,default,25 Gigabit,supported,15,50,50,true,"cluster, partition, spread",4,-,true,ebs,true,-,-,true,false,9.264 USD per Hour,6.32 USD per Hour,6.42 USD per Hour,6.45 USD per Hour,,,,
g3s.xlarge,g3s,xlarge,"ap-northeast-1c, ap-northeast-1a",false,false,false,xen,4,x86_64,2,"1,2",2,"1,2",2.7,30.5,-,-,-,-,supported,default,Up to 10 Gigabit,required,4,15,15,true,"cluster, partition, spread",1,-,true,ebs,-,-,-,true,false,1.224 USD per Hour,1.04 USD per Hour,1.096 USD per Hour,1.1 USD per Hour,,,,
g4ad.xlarge,g4ad,xlarge,"ap-northeast-1c, ap-northeast-1a, ap-northeast-1d",false,false,false,nitro,4,x86_64,2,2,2,"1,2",3,16,150,true,ssd,1,supported,default,Up to 10 Gigabit,required,2,4,4,true,"cluster, partition, spread",1,-,-,ebs,-,-,-,true,false,0.69482 USD per Hour,0.51082 USD per Hour,0.56712 USD per Hour,0.57082 USD per Hour,,,,
g4ad.2xlarge,g4ad,2xlarge,"ap-northeast-1d, ap-northeast-1c, ap-northeast-1a",false,false,false,nitro,8,x86_64,4,"2,4",2,"1,2",3,32,300,true,ssd,1,supported,default,Up to 10 Gigabit,required,2,4,4,true,"cluster, partition, spread",1,-,-,ebs,-,-,-,true,false,1.0983 USD per Hour,0.7303 USD per Hour,0.8553 USD per Hour,0.8603 USD per Hour,,,,
g4ad.4xlarge,g4ad,4xlarge,"ap-northeast-1c, ap-northeast-1a, ap-northeast-1d",false,false,false,nitro,16,x86_64,8,"2,4,8",2,"1,2",3,64,600,true,ssd,1,supported,default,Up to 10 Gigabit,required,3,10,10,true,"cluster, partition, spread",1,-,-,ebs,true,-,-,true,false,1.906 USD per Hour,1.17 USD per Hour,1.295 USD per Hour,1.3 USD per Hour,,,,
g4ad.8xlarge,g4ad,8xlarge,"ap-northeast-1c, ap-northeast-1a, ap-northeast-1d",false,false,false,nitro,32,x86_64,16,"2,4,8,16",2,"1,2",3,128,1200,true,ssd,1,supported,default,15 Gigabit,required,4,15,15,true,"cluster, partition, spread",2,-,-,ebs,true,-,-,true,false,3.812 USD per Hour,2.34 USD per Hour,2.465 USD per Hour,2.47 USD per Hour,,,,
g4ad.16xlarge,g4ad,16xlarge,"ap-northeast-1c, ap-northeast-1a, ap-northeast-1d",false,false,false,nitro,64,x86_64,32,"2,4,8,16,32",2,"1,2",3,256,2400,true,ssd,2,supported,default,25 Gigabit,required,8,30,30,true,"cluster, partition, spread",4,-,-,ebs,-,-,-,true,false,7.624 USD per Hour,4.68 USD per Hour,4.805 USD per Hour,4.81 USD per Hour,,,,
g4dn.xlarge,g4dn,xlarge,"ap-northeast-1a, ap-northeast-1c, ap-northeast-1d",false,false,false,nitro,4,x86_64,2,2,2,"1,2",2.5,16,125,true,ssd,1,supported,default,Up to 25 Gigabit,required,3,10,10,true,"cluster, partition, spread",1,-,-,ebs,-,-,-,true,false,0.894 USD per Hour,0.71 USD per Hour,0.766 USD per Hour,0.77 USD per Hour,,,,
g4dn.2xlarge,g4dn,2xlarge,"ap-northeast-1d, ap-northeast-1c, ap-northeast-1a",false,false,false,nitro,8,x86_64,4,"2,4",2,"1,2",2.5,32,225,true,ssd,1,supported,default,Up to 25 Gigabit,required,3,10,10,true,"cluster, partition, spread",1,-,-,ebs,-,-,-,true,false,1.383 USD per Hour,1.015 USD per Hour,1.14 USD per Hour,1.145 USD per Hour,1.739 USD per Hour,1.496 USD per Hour,1.501 USD per Hour,1.371 USD per Hour
g4dn.4xlarge,g4dn,4xlarge,"ap-northeast-1c, ap-northeast-1d, ap-northeast-1a",false,false,false,nitro,16,x86_64,8,"2,4,6,8",2,"1,2",2.5,64,225,true,ssd,1,supported,default,Up to 25 Gigabit,required,3,10,10,true,"cluster, partition, spread",1,-,-,ebs,-,-,-,true,false,2.361 USD per Hour,1.625 USD per Hour,1.75 USD per Hour,1.755 USD per Hour,,,,
g4dn.8xlarge,g4dn,8xlarge,"ap-northeast-1d, ap-northeast-1a, ap-northeast-1c",false,false,false,nitro,32,x86_64,16,"2,4,6,8,10,12,14,16",2,"1,2",2.5,128,900,true,ssd,1,supported,default,50 Gigabit,required,4,15,15,true,"cluster, partition, spread",1,-,-,ebs,-,-,-,true,false,4.41 USD per Hour,2.938 USD per Hour,3.063 USD per Hour,3.068 USD per Hour,,,,
g4dn.12xlarge,g4dn,12xlarge,"ap-northeast-1c, ap-northeast-1d, ap-northeast-1a",false,false,false,nitro,48,x86_64,24,"2,4,6,8,10,12,14,16,18,20,22,24",2,"1,2",2.5,192,900,true,ssd,1,supported,default,50 Gigabit,required,8,30,30,true,"cluster, partition, spread",4,-,-,ebs,true,-,-,true,false,7.489 USD per Hour,5.281 USD per Hour,5.406 USD per Hour,5.411 USD per Hour,,,,
g4dn.16xlarge,g4dn,16xlarge,"ap-northeast-1d, ap-northeast-1c, ap-northeast-1a",false,false,false,nitro,64,x86_64,32,"2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32",2,"1,2",2.5,256,900,true,ssd,1,supported,default,50 Gigabit,required,4,15,15,true,"cluster, partition, spread",1,-,-,ebs,-,-,-,true,false,8.819 USD per Hour,5.875 USD per Hour,6 USD per Hour,6.005 USD per Hour,,,,
g4dn.metal,g4dn,metal,"ap-northeast-1d, ap-northeast-1a, ap-northeast-1c",false,false,true,,96,x86_64,48,-,2,-,2.5,384,1800,true,ssd,2,supported,default,100 Gigabit,required,15,50,50,true,"cluster, partition, spread",8,-,-,ebs,true,-,-,true,false,14.978 USD per Hour,10.562 USD per Hour,10.687 USD per Hour,10.692 USD per Hour,,,,
g5.xlarge,g5,xlarge,"ap-northeast-1a, ap-northeast-1c",false,false,false,nitro,4,x86_64,2,-,2,-,3.3,16,250,true,ssd,1,supported,default,Up to 10 Gigabit,required,4,15,15,true,"cluster, partition, spread",1,-,-,ebs,-,-,-,true,false,1.643 USD per Hour,1.459 USD per Hour,1.5153 USD per Hour,1.519 USD per Hour,,,,
g5.2xlarge,g5,2xlarge,"ap-northeast-1a, ap-northeast-1c",false,false,false,nitro,8,x86_64,4,-,2,-,3.3,32,450,true,ssd,1,supported,default,Up to 10 Gigabit,required,4,15,15,true,"cluster, partition, spread",1,-,-,ebs,-,-,-,true,false,2.12576 USD per Hour,1.75776 USD per Hour,1.88276 USD per Hour,1.88776 USD per Hour,,,,
g5.4xlarge,g5,4xlarge,"ap-northeast-1a, ap-northeast-1c",false,false,false,nitro,16,x86_64,8,-,2,-,3.3,64,600,true,ssd,1,supported,default,Up to 25 Gigabit,required,8,30,30,true,"cluster, partition, spread",1,-,-,ebs,-,-,-,true,false,3.09128 USD per Hour,2.35528 USD per Hour,2.48028 USD per Hour,2.48528 USD per Hour,,,,
g5.8xlarge,g5,8xlarge,"ap-northeast-1a, ap-northeast-1c",false,false,false,nitro,32,x86_64,16,-,2,-,3.3,128,900,true,ssd,1,supported,default,25 Gigabit,required,8,30,30,true,"cluster, partition, spread",1,-,-,ebs,-,-,-,true,false,5.02233 USD per Hour,3.55033 USD per Hour,3.67533 USD per Hour,3.68033 USD per Hour,,,,
g5.12xlarge,g5,12xlarge,"ap-northeast-1a, ap-northeast-1c",false,false,false,nitro,48,x86_64,24,-,2,-,3.3,192,3800,true,ssd,1,supported,default,40 Gigabit,required,15,50,50,true,"cluster, partition, spread",4,-,-,ebs,-,-,-,true,false,10.43409 USD per Hour,8.22609 USD per Hour,8.35109 USD per Hour,8.35609 USD per Hour,,,,
g5.16xlarge,g5,16xlarge,"ap-northeast-1c, ap-northeast-1a",false,false,false,nitro,64,x86_64,32,-,2,-,3.3,256,1900,true,ssd,1,supported,default,25 Gigabit,required,8,30,30,true,"cluster, partition, spread",1,-,-,ebs,-,-,-,true,false,8.88442 USD per Hour,5.94042 USD per Hour,6.06542 USD per Hour,6.07042 USD per Hour,,,,
g5.24xlarge,g5,24xlarge,"ap-northeast-1a, ap-northeast-1c",false,false,false,nitro,96,x86_64,48,-,2,-,3.3,384,3800,true,ssd,1,supported,default,50 Gigabit,required,15,50,50,true,"cluster, partition, spread",4,-,-,ebs,true,-,-,true,false,16.22723 USD per Hour,11.81123 USD per Hour,11.93623 USD per Hour,11.94123 USD per Hour,,,,
g5.48xlarge,g5,48xlarge,"ap-northeast-1c, ap-northeast-1a",false,false,false,nitro,192,x86_64,96,-,2,-,3.3,768,7600,true,ssd,2,supported,default,100 Gigabit,required,7,50,50,true,"cluster, partition, spread",8,-,-,ebs,true,-,-,true,false,32.45446 USD per Hour,23.62246 USD per Hour,23.74746 USD per Hour,23.75246 USD per Hour,,,,
g5g.xlarge,g5g,xlarge,"ap-northeast-1d, ap-northeast-1c, ap-northeast-1a",false,false,false,nitro,4,arm64,4,"1,2,3,4",1,1,2.5,8,-,-,-,-,supported,default,Up to 10 Gigabit,required,4,15,15,true,"cluster, partition, spread",1,-,true,ebs,-,-,-,true,false,,0.5669 USD per Hour,0.6232 USD per Hour,0.6269 USD per Hour,,,,
g5g.2xlarge,g5g,2xlarge,"ap-northeast-1c, ap-northeast-1a, ap-northeast-1d",false,false,false,nitro,8,arm64,8,"1,2,3,4,5,6,7,8",1,1,2.5,16,-,-,-,-,supported,default,Up to 10 Gigabit,required,4,15,15,true,"cluster, partition, spread",1,-,true,ebs,-,-,-,true,false,,0.7505 USD per Hour,0.8755 USD per Hour,0.8805 USD per Hour,,,,
g5g.4xlarge,g5g,4xlarge,"ap-northeast-1d, ap-northeast-1c, ap-northeast-1a",false,false,false,nitro,16,arm64,16,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",1,1,2.5,32,-,-,-,-,supported,default,Up to 10 Gigabit,required,8,30,30,true,"cluster, partition, spread",1,-,true,ebs,-,-,-,true,false,,1.1176 USD per Hour,1.2426 USD per Hour,1.2476 USD per Hour,,,,
g5g.8xlarge,g5g,8xlarge,"ap-northeast-1c, ap-northeast-1a, ap-northeast-1d",false,false,false,nitro,32,arm64,32,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32",1,1,2.5,64,-,-,-,-,supported,default,12 Gigabit,required,8,30,30,true,"cluster, partition, spread",1,-,true,ebs,-,-,-,true,false,,1.8519 USD per Hour,1.9769 USD per Hour,1.9819 USD per Hour,,,,
g5g.16xlarge,g5g,16xlarge,"ap-northeast-1c, ap-northeast-1a, ap-northeast-1d",false,false,false,nitro,64,arm64,64,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64",1,1,2.5,128,-,-,-,-,supported,default,25 Gigabit,required,15,50,50,true,"cluster, partition, spread",2,-,true,ebs,true,-,-,true,false,,3.7039 USD per Hour,3.8289 USD per Hour,3.8339 USD per Hour,,,,
g5g.metal,g5g,metal,"ap-northeast-1c, ap-northeast-1d, ap-northeast-1a",false,false,true,,64,arm64,64,-,1,-,2.5,128,-,-,-,-,supported,default,25 Gigabit,required,15,50,50,true,"cluster, partition, spread",2,-,-,ebs,true,-,-,true,false,,3.7039 USD per Hour,3.8289 USD per Hour,3.8339 USD per Hour,,,,
i2.xlarge,i2,xlarge,"ap-northeast-1a, ap-northeast-1c",false,false,false,xen,4,x86_64,2,"1,2",2,"1,2",2.5,30.5,800,true,ssd,1,supported,supported,Moderate,unsupported,4,15,15,true,"cluster, partition, spread",-,-,-,"ebs, instance-store",true,-,-,false,false,1.113 USD per Hour,1.001 USD per Hour,1.101 USD per Hour,1.061 USD per Hour,,,,
i2.2xlarge,i2,2xlarge,"ap-northeast-1c, ap-northeast-1a",false,false,false,xen,8,x86_64,4,"1,2,3,4",2,"1,2",2.5,61,1600,true,ssd,2,supported,supported,High,unsupported,4,15,15,true,"cluster, partition, spread",-,-,-,"ebs, instance-store",true,-,-,false,false,2.226 USD per Hour,2.001 USD per Hour,2.101 USD per Hour,2.131 USD per Hour,,,,
i2.4xlarge,i2,4xlarge,"ap-northeast-1c, ap-northeast-1a",false,false,false,xen,16,x86_64,8,"1,2,3,4,5,6,7,8",2,"1,2",2.5,122,3200,true,ssd,4,supported,supported,High,unsupported,8,30,30,true,"cluster, partition, spread",-,-,-,"ebs, instance-store",true,-,-,false,false,4.451 USD per Hour,4.002 USD per Hour,4.102 USD per Hour,4.132 USD per Hour,,,,
i2.8xlarge,i2,8xlarge,"ap-northeast-1c, ap-northeast-1a",false,false,false,xen,32,x86_64,16,"2,4,6,8,10,12,14,16",2,"1,2",2.5,244,6400,true,ssd,8,supported,unsupported,10 Gigabit,unsupported,8,30,30,true,"cluster, partition, spread",-,-,-,"ebs, instance-store",true,-,-,false,false,8.903 USD per Hour,8.004 USD per Hour,8.104 USD per Hour,8.134 USD per Hour,,,,
i3.large,i3,large,"ap-northeast-1a, ap-northeast-1c, ap-northeast-1d",false,false,false,xen,2,x86_64,1,1,2,"1,2",2.3,15.3,475,true,ssd,1,supported,default,Up to 10 Gigabit,supported,3,10,10,true,"cluster, partition, spread",-,-,-,ebs,true,true,-,true,false,0.275 USD per Hour,0.183 USD per Hour,0.283 USD per Hour,0.243 USD per Hour,,,,
i3.xlarge,i3,xlarge,"ap-northeast-1d, ap-northeast-1a, ap-northeast-1c",false,false,false,xen,4,x86_64,2,"1,2",2,"1,2",2.3,30.5,950,true,ssd,1,supported,default,Up to 10 Gigabit,supported,4,15,15,true,"cluster, partition, spread",-,-,-,ebs,true,true,-,true,false,0.55 USD per Hour,0.366 USD per Hour,0.466 USD per Hour,0.426 USD per Hour,,,,
i3.2xlarge,i3,2xlarge,"ap-northeast-1a, ap-northeast-1c, ap-northeast-1d",false,false,false,xen,8,x86_64,4,"1,2,3,4",2,"1,2",2.3,61,1900,true,ssd,1,supported,default,Up to 10 Gigabit,supported,4,15,15,true,"cluster, partition, spread",-,-,-,ebs,true,true,-,true,false,1.1 USD per Hour,0.732 USD per Hour,0.832 USD per Hour,0.862 USD per Hour,,,,
i3.4xlarge,i3,4xlarge,"ap-northeast-1c, ap-northeast-1a, ap-northeast-1d",false,false,false,xen,16,x86_64,8,"1,2,3,4,5,6,7,8",2,"1,2",2.3,122,3800,true,ssd,2,supported,default,Up to 10 Gigabit,supported,8,30,30,true,"cluster, partition, spread",-,-,-,ebs,true,true,-,true,false,2.2 USD per Hour,1.464 USD per Hour,1.564 USD per Hour,1.594 USD per Hour,,,,
i3.8xlarge,i3,8xlarge,"ap-northeast-1d, ap-northeast-1c, ap-northeast-1a",false,false,false,xen,32,x86_64,16,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",2,"1,2",2.3,244,7600,true,ssd,4,supported,default,10 Gigabit,supported,8,30,30,true,"cluster, partition, spread",-,-,-,ebs,true,-,-,true,false,4.4 USD per Hour,2.928 USD per Hour,3.028 USD per Hour,3.058 USD per Hour,,,,
i3.16xlarge,i3,16xlarge,"ap-northeast-1a, ap-northeast-1c, ap-northeast-1d",false,false,false,xen,64,x86_64,32,"2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32",2,"1,2",2.3,488,15200,true,ssd,8,supported,default,25 Gigabit,supported,15,50,50,true,"cluster, partition, spread",-,-,-,ebs,true,-,-,true,false,8.8 USD per Hour,5.856 USD per Hour,5.956 USD per Hour,5.986 USD per Hour,,,,
i3.metal,i3,metal,"ap-northeast-1c, ap-northeast-1a, ap-northeast-1d",false,false,true,,72,x86_64,36,-,2,-,2.3,512,15200,true,ssd,8,supported,default,25 Gigabit,required,15,50,50,true,"cluster, partition, spread",-,-,-,ebs,true,-,-,true,false,8.8 USD per Hour,5.856 USD per Hour,5.956 USD per Hour,5.986 USD per Hour,,,,
i3en.large,i3en,large,"ap-northeast-1a, ap-northeast-1d, ap-northeast-1c",false,false,false,nitro,2,x86_64,1,1,2,"1,2",3.1,16,1250,true,ssd,1,supported,default,Up to 25 Gigabit,required,3,10,10,true,"cluster, partition, spread",-,-,-,ebs,true,true,-,true,false,0.358 USD per Hour,0.266 USD per Hour,0.322 USD per Hour,0.326 USD per Hour,,,,
i3en.xlarge,i3en,xlarge,"ap-northeast-1c, ap-northeast-1a, ap-northeast-1d",false,false,false,nitro,4,x86_64,2,"1,2",2,"1,2",3.1,32,2500,true,ssd,1,supported,default,Up to 25 Gigabit,required,4,15,15,true,"cluster, partition, spread",-,-,-,ebs,true,true,-,true,false,0.716 USD per Hour,0.532 USD per Hour,0.588 USD per Hour,0.592 USD per Hour,,,,
i3en.2xlarge,i3en,2xlarge,"ap-northeast-1a, ap-northeast-1d, ap-northeast-1c",false,false,false,nitro,8,x86_64,4,"2,4",2,"1,2",3.1,64,5000,true,ssd,2,supported,default,Up to 25 Gigabit,required,4,15,15,true,"cluster, partition, spread",-,-,-,ebs,true,true,-,true,false,1.432 USD per Hour,1.064 USD per Hour,1.189 USD per Hour,1.194 USD per Hour,,,,
